;;;Gurobi;;;;;Hexaly;;;;;;MAB;;;;;BVNS;;;;
Group;Instance;Vmin;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T. Parl;Optimal;Feasible/opt;Desv;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T.;Optimal;Desv
big;622-Randomized_vertices-0.25-steam1.hwb;0;;;;;0,00%;2;73;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;6;542;603,718;FALSE;600,00%;0,24;0;0;TRUE;0,00%
big;673-Randomized_vertices-0.5-dwt__310.hwb;0;;;;;0,00%;0;27;27;TRUE;HxSolutionStatus.OPTIMAL;0,00%;2;378;603,615;FALSE;200,00%;0,31;0;0;TRUE;0,00%
big;682-Randomized_vertices-0.5-fs_183_1.hwb;0;;;;;0,00%;0;2;2;TRUE;HxSolutionStatus.OPTIMAL;0,00%;0;5;5,891;TRUE;0,00%;0,183;0;0;TRUE;0,00%
big;708-Randomized_vertices-0.5-mcca.hwb;0;;;;;0,00%;0;5;5;TRUE;HxSolutionStatus.OPTIMAL;0,00%;0;121;121,136;TRUE;0,00%;0,168;0;0;TRUE;0,00%
big;774-Randomized_vertices-0.75-dwt__209.hwb;0;;;;;0,00%;0;0;0;TRUE;HxSolutionStatus.OPTIMAL;0,00%;0;51;51,441;TRUE;0,00%;0,209;0;0;TRUE;0,00%
big;775-Randomized_vertices-0.75-dwt__221.hwb;0;;;;;0,00%;0;0;0;TRUE;HxSolutionStatus.OPTIMAL;0,00%;0;3;3,38;TRUE;0,00%;0,221;0;0;TRUE;0,00%
big;788-Randomized_vertices-0.75-fs_183_1.hwb;0;;;;;0,00%;0;0;0;TRUE;HxSolutionStatus.OPTIMAL;0,00%;0;5;5,294;TRUE;0,00%;0,183;0;0;TRUE;0,00%
big;789-Randomized_vertices-0.75-fs_541_1.hwb;0;;;;;0,00%;0;15;15;TRUE;HxSolutionStatus.OPTIMAL;0,00%;2;38;610,851;FALSE;200,00%;0,541;0;0;TRUE;0,00%
big;792-Randomized_vertices-0.75-gre_216a.hwb;0;;;;;0,00%;0;0;0;TRUE;HxSolutionStatus.OPTIMAL;0,00%;0;31;31,131;TRUE;0,00%;0,216;0;0;TRUE;0,00%
big;800-Randomized_vertices-0.75-impcol_a.hwb;0;;;;;0,00%;0;45;45;TRUE;HxSolutionStatus.OPTIMAL;0,00%;0;223;223,306;TRUE;0,00%;0,206;0;0;TRUE;0,00%
big;814-Randomized_vertices-0.75-mcca.hwb;0;;;;;0,00%;0;1;1;TRUE;HxSolutionStatus.OPTIMAL;0,00%;0;7;7,218;TRUE;0,00%;0,168;0;0;TRUE;0,00%
big;831-Randomized_vertices-0.75-shl__200.hwb;0;;;;;0,00%;0;37;37;TRUE;HxSolutionStatus.OPTIMAL;0,00%;1;573;675,919;FALSE;100,00%;0,663;0;0;TRUE;0,00%
big;832-Randomized_vertices-0.75-shl__400.hwb;0;;;;;0,00%;1;1;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;2;53;614,247;FALSE;200,00%;0,663;0;0;TRUE;0,00%
big;833-Randomized_vertices-0.75-shl____0.hwb;0;;;;;0,00%;0;10;10;TRUE;HxSolutionStatus.OPTIMAL;0,00%;1;484;615,734;FALSE;100,00%;0,663;0;0;TRUE;0,00%
big;89-Randomized_edges-0.15-shl__200.hwb;0;;;;;0,00%;2;20;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;7;74;639,113;FALSE;700,00%;0,663;210;210;TRUE;0,00%
big;90-Randomized_edges-0.15-shl__400.hwb;1;;;;;-50,00%;2;25;600;FALSE;HxSolutionStatus.FEASIBLE;50,00%;4;63;686,642;FALSE;150,00%;1,005;82;600;FALSE;0,00%
big;91-Randomized_edges-0.15-shl____0.hwb;1;;;;;-50,00%;2;18;600;FALSE;HxSolutionStatus.FEASIBLE;50,00%;4;492;604,017;FALSE;150,00%;1,002;69;600;FALSE;0,00%
big;complete_046_110x5995_100_20;390;;;;;-99,74%;462;600;600;FALSE;HxSolutionStatus.FEASIBLE;18,41%;458;775;783,629;FALSE;17,39%;390,008;456;600;FALSE;0,00%
big;complete_048_110x5995_100_80;412;;;;;-99,76%;487;597;600;FALSE;HxSolutionStatus.FEASIBLE;18,16%;482;548;608,195;FALSE;16,95%;412,004;502;600;FALSE;0,00%
big;complete_049_110x5995_100_20;394;;;;;-99,75%;459;582;600;FALSE;HxSolutionStatus.FEASIBLE;16,46%;484;731;738,228;FALSE;22,78%;394,007;365;600;FALSE;0,00%
big;complete_051_110x5995_100_80;396;;;;;-99,75%;459;511;600;FALSE;HxSolutionStatus.FEASIBLE;15,87%;469;329;631,77;FALSE;18,39%;396,011;549;600;FALSE;0,00%
big;complete_052_110x5995_100_20;419;;;;;-99,76%;486;574;600;FALSE;HxSolutionStatus.FEASIBLE;15,95%;499;619;627,98;FALSE;19,05%;419,001;482;600;FALSE;0,00%
big;complete_054_110x5995_100_80;392;;;;;-99,75%;451;562;600;FALSE;HxSolutionStatus.FEASIBLE;15,01%;496;346;651,948;FALSE;26,46%;392,003;437;600;FALSE;0,00%
big;complete_094_210x21945_100_20;1612;;;;;-99,94%;1938;598;600;FALSE;HxSolutionStatus.FEASIBLE;20,21%;1857;673;681,112;FALSE;15,19%;1612,006;521;600;FALSE;0,00%
big;complete_100_230x26335_100_20;1998;;;;;-99,95%;2445;559;602;FALSE;HxSolutionStatus.FEASIBLE;22,36%;2281;818;825,371;FALSE;14,16%;1998,003;589;600;FALSE;0,00%
big;complete_102_230x26335_100_80;1935;;;;;-99,95%;2453;566;600;FALSE;HxSolutionStatus.FEASIBLE;26,76%;2295;752;752,873;FALSE;18,60%;1935,001;447;600;FALSE;0,00%
big;complete_103_230x26335_100_20;1986;;;;;-99,95%;2424;561;600;FALSE;HxSolutionStatus.FEASIBLE;22,04%;2323;627;634,583;FALSE;16,96%;1986,007;539;600;FALSE;0,00%
big;complete_105_230x26335_100_80;1905;;;;;-99,95%;2381;552;600;FALSE;HxSolutionStatus.FEASIBLE;24,97%;2307;604;605,179;FALSE;21,09%;1905,012;586;600;FALSE;0,00%
big;complete_106_230x26335_100_20;1995;;;;;-99,95%;2446;582;600;FALSE;HxSolutionStatus.FEASIBLE;22,60%;2314;745;752,99;FALSE;15,98%;1995,01;571;600;FALSE;0,00%
big;complete_107_230x26335_100_50;2995;;;;;-99,97%;3565;584;601;FALSE;HxSolutionStatus.FEASIBLE;19,03%;3377;1213;1235,632;FALSE;12,75%;2995,003;534;600;FALSE;0,00%
big;complete_108_230x26335_100_80;1987;;;;;-99,95%;2439;589;600;FALSE;HxSolutionStatus.FEASIBLE;22,74%;2351;1374;1374,747;FALSE;18,31%;1987,001;403;600;FALSE;0,00%
big;interval_093_210x4415_20_80;9;;;;;-90,00%;25;600;600;FALSE;HxSolutionStatus.FEASIBLE;160,00%;39;604;604,315;FALSE;300,00%;9,001;480;600;FALSE;0,00%
